Mod:Item:MetaData, Localized Name
tconstruct:tough_tool_rod:0, Sapphire Tough Tool Rod
tconstruct:tough_tool_rod:0, Tanzanite Tough Tool Rod
tconstruct:tough_tool_rod:0, Topaz Tough Tool Rod
tconstruct:tough_tool_rod:0, Olivine Tough Tool Rod
tconstruct:tough_tool_rod:0, Opal Tough Tool Rod
tconstruct:tough_tool_rod:0, Amethyst Tough Tool Rod
tconstruct:tough_tool_rod:0, Red Garnet Tough Tool Rod
tconstruct:tough_tool_rod:0, Yellow Garnet Tough Tool Rod
tconstruct:tough_tool_rod:0, Vinteum Tough Tool Rod
tconstruct:tough_tool_rod:0, Boron Tough Tool Rod
tconstruct:tough_tool_rod:0, Tough Alloy Tough Tool Rod
tconstruct:tough_tool_rod:0, Hard Carbon Tough Tool Rod
tconstruct:tough_tool_rod:0, Boron Nitride Tough Tool Rod
tconstruct:tough_tool_rod:0, Magnesium Tough Tool Rod
tconstruct:tough_tool_rod:0, Chocolate Tough Tool Rod
tconstruct:tough_tool_rod:0, Nickel Silver Tough Tool Rod
tconstruct:tough_tool_rod:0, Mithril Tough Tool Rod
tconstruct:tough_tool_rod:0, Beryllium Copper Tough Tool Rod
tconstruct:tough_tool_rod:0, Zircaloy Tough Tool Rod
tconstruct:binding:0, Wooden Binding
tconstruct:binding:0, Stone Binding
tconstruct:binding:0, Flint Binding
tconstruct:binding:0, Cactus Binding
tconstruct:binding:0, Bone Binding
tconstruct:binding:0, Obsidian Binding
tconstruct:binding:0, Prismarine Binding
tconstruct:binding:0, End Binding
tconstruct:binding:0, Paper Binding
tconstruct:binding:0, Sponge Binding
tconstruct:binding:0, Firewood Binding
tconstruct:binding:0, Iron Binding
tconstruct:binding:0, Pig Iron Binding
tconstruct:binding:0, Knightslime Binding
tconstruct:binding:0, Slime Binding
tconstruct:binding:0, Slime Binding
tconstruct:binding:0, Magma Slime Binding
tconstruct:binding:0, Netherrack Binding
tconstruct:binding:0, Cobalt Binding
tconstruct:binding:0, Ardite Binding
tconstruct:binding:0, Manyullyn Binding
tconstruct:binding:0, Copper Binding
tconstruct:binding:0, Bronze Binding
tconstruct:binding:0, Lead Binding
tconstruct:binding:0, Silver Binding
tconstruct:binding:0, Electrum Binding
tconstruct:binding:0, Steel Binding
tconstruct:binding:0, Treated Wood Binding
tconstruct:binding:0, Constantan Binding
tconstruct:binding:0, Aluminium Binding
tconstruct:binding:0, Chrome Binding
tconstruct:binding:0, Iridium Binding
tconstruct:binding:0, Manganese Binding
tconstruct:binding:0, Molybdenum Binding
tconstruct:binding:0, Neodymium Binding
tconstruct:binding:0, Darmstadtium Binding
tconstruct:binding:0, Osmium Binding
tconstruct:binding:0, Palladium Binding
tconstruct:binding:0, Thorium Binding
tconstruct:binding:0, Titanium Binding
tconstruct:binding:0, Tungsten Binding
tconstruct:binding:0, Uranium Binding
tconstruct:binding:0, Uranium-235 Binding
tconstruct:binding:0, Brass Binding
tconstruct:binding:0, Invar Binding
tconstruct:binding:0, Magnalium Binding
tconstruct:binding:0, Stainless Steel Binding
tconstruct:binding:0, Ultimet Binding
tconstruct:binding:0, Wrought Iron Binding
tconstruct:binding:0, Osmiridium Binding
tconstruct:binding:0, Sterling Silver Binding
tconstruct:binding:0, Rose Gold Binding
tconstruct:binding:0, Black Bronze Binding
tconstruct:binding:0, Bismuth Bronze Binding
tconstruct:binding:0, Black Steel Binding
tconstruct:binding:0, Red Steel Binding
tconstruct:binding:0, Blue Steel Binding
tconstruct:binding:0, Damascus Steel Binding
tconstruct:binding:0, Tungstensteel Binding
tconstruct:binding:0, Cobalt Brass Binding
tconstruct:binding:0, Tungsten Carbide Binding
tconstruct:binding:0, Vanadiumsteel Binding
tconstruct:binding:0, HSS-G Binding
tconstruct:binding:0, HSS-E Binding
tconstruct:binding:0, HSS-S Binding
tconstruct:binding:0, Naquadah Binding
tconstruct:binding:0, Naquadah Alloy Binding
tconstruct:binding:0, Enriched Naquadah Binding
tconstruct:binding:0, Tritanium Binding
tconstruct:binding:0, Duranium Binding
tconstruct:binding:0, material.rhodium_plated_palladium.name Binding
tconstruct:binding:0, material.enderium.name Binding
tconstruct:binding:0, Neutronium Binding
tconstruct:binding:0, Blue Topaz Binding
tconstruct:binding:0, Diamond Binding
tconstruct:binding:0, Emerald Binding
tconstruct:binding:0, Green Sapphire Binding
tconstruct:binding:0, Ruby Binding
tconstruct:binding:0, Sapphire Binding
tconstruct:binding:0, Tanzanite Binding
tconstruct:binding:0, Topaz Binding
tconstruct:binding:0, Olivine Binding
tconstruct:binding:0, Opal Binding
tconstruct:binding:0, Amethyst Binding
tconstruct:binding:0, Red Garnet Binding
tconstruct:binding:0, Yellow Garnet Binding
tconstruct:binding:0, Vinteum Binding
tconstruct:binding:0, Boron Binding
tconstruct:binding:0, Tough Alloy Binding
tconstruct:binding:0, Hard Carbon Binding
tconstruct:binding:0, Boron Nitride Binding
tconstruct:binding:0, Magnesium Binding
tconstruct:binding:0, Chocolate Binding
tconstruct:binding:0, Nickel Silver Binding
tconstruct:binding:0, Mithril Binding
tconstruct:binding:0, Beryllium Copper Binding
tconstruct:binding:0, Zircaloy Binding
tconstruct:tough_binding:0, Wooden Tough Binding
tconstruct:tough_binding:0, Stone Tough Binding
tconstruct:tough_binding:0, Flint Tough Binding
tconstruct:tough_binding:0, Cactus Tough Binding
tconstruct:tough_binding:0, Bone Tough Binding
tconstruct:tough_binding:0, Obsidian Tough Binding
tconstruct:tough_binding:0, Prismarine Tough Binding
tconstruct:tough_binding:0, End Tough Binding
tconstruct:tough_binding:0, Paper Tough Binding
tconstruct:tough_binding:0, Sponge Tough Binding
tconstruct:tough_binding:0, Firewood Tough Binding
tconstruct:tough_binding:0, Iron Tough Binding
tconstruct:tough_binding:0, Pig Iron Tough Binding
tconstruct:tough_binding:0, Knightslime Tough Binding
tconstruct:tough_binding:0, Slime Tough Binding
tconstruct:tough_binding:0, Slime Tough Binding
tconstruct:tough_binding:0, Magma Slime Tough Binding
tconstruct:tough_binding:0, Netherrack Tough Binding
tconstruct:tough_binding:0, Cobalt Tough Binding
tconstruct:tough_binding:0, Ardite Tough Binding
tconstruct:tough_binding:0, Manyullyn Tough Binding
tconstruct:tough_binding:0, Copper Tough Binding
tconstruct:tough_binding:0, Bronze Tough Binding
tconstruct:tough_binding:0, Lead Tough Binding
tconstruct:tough_binding:0, Silver Tough Binding
tconstruct:tough_binding:0, Electrum Tough Binding
tconstruct:tough_binding:0, Steel Tough Binding
tconstruct:tough_binding:0, Treated Wood Tough Binding
tconstruct:tough_binding:0, Constantan Tough Binding
tconstruct:tough_binding:0, Aluminium Tough Binding
tconstruct:tough_binding:0, Chrome Tough Binding
tconstruct:tough_binding:0, Iridium Tough Binding
tconstruct:tough_binding:0, Manganese Tough Binding
tconstruct:tough_binding:0, Molybdenum Tough Binding
tconstruct:tough_binding:0, Neodymium Tough Binding
tconstruct:tough_binding:0, Darmstadtium Tough Binding
tconstruct:tough_binding:0, Osmium Tough Binding
tconstruct:tough_binding:0, Palladium Tough Binding
tconstruct:tough_binding:0, Thorium Tough Binding
tconstruct:tough_binding:0, Titanium Tough Binding
tconstruct:tough_binding:0, Tungsten Tough Binding
tconstruct:tough_binding:0, Uranium Tough Binding
tconstruct:tough_binding:0, Uranium-235 Tough Binding
tconstruct:tough_binding:0, Brass Tough Binding
tconstruct:tough_binding:0, Invar Tough Binding
tconstruct:tough_binding:0, Magnalium Tough Binding
tconstruct:tough_binding:0, Stainless Steel Tough Binding
tconstruct:tough_binding:0, Ultimet Tough Binding
tconstruct:tough_binding:0, Wrought Iron Tough Binding
tconstruct:tough_binding:0, Osmiridium Tough Binding
tconstruct:tough_binding:0, Sterling Silver Tough Binding
tconstruct:tough_binding:0, Rose Gold Tough Binding
tconstruct:tough_binding:0, Black Bronze Tough Binding
tconstruct:tough_binding:0, Bismuth Bronze Tough Binding
tconstruct:tough_binding:0, Black Steel Tough Binding
tconstruct:tough_binding:0, Red Steel Tough Binding
tconstruct:tough_binding:0, Blue Steel Tough Binding
tconstruct:tough_binding:0, Damascus Steel Tough Binding
tconstruct:tough_binding:0, Tungstensteel Tough Binding
tconstruct:tough_binding:0, Cobalt Brass Tough Binding
tconstruct:tough_binding:0, Tungsten Carbide Tough Binding
tconstruct:tough_binding:0, Vanadiumsteel Tough Binding
tconstruct:tough_binding:0, HSS-G Tough Binding
tconstruct:tough_binding:0, HSS-E Tough Binding
tconstruct:tough_binding:0, HSS-S Tough Binding
tconstruct:tough_binding:0, Naquadah Tough Binding
tconstruct:tough_binding:0, Naquadah Alloy Tough Binding
tconstruct:tough_binding:0, Enriched Naquadah Tough Binding
tconstruct:tough_binding:0, Tritanium Tough Binding
tconstruct:tough_binding:0, Duranium Tough Binding
tconstruct:tough_binding:0, material.rhodium_plated_palladium.name Tough Binding
tconstruct:tough_binding:0, material.enderium.name Tough Binding
tconstruct:tough_binding:0, Neutronium Tough Binding
tconstruct:tough_binding:0, Blue Topaz Tough Binding
tconstruct:tough_binding:0, Diamond Tough Binding
tconstruct:tough_binding:0, Emerald Tough Binding
tconstruct:tough_binding:0, Green Sapphire Tough Binding
tconstruct:tough_binding:0, Ruby Tough Binding
tconstruct:tough_binding:0, Sapphire Tough Binding
tconstruct:tough_binding:0, Tanzanite Tough Binding
tconstruct:tough_binding:0, Topaz Tough Binding
tconstruct:tough_binding:0, Olivine Tough Binding
tconstruct:tough_binding:0, Opal Tough Binding
tconstruct:tough_binding:0, Amethyst Tough Binding
tconstruct:tough_binding:0, Red Garnet Tough Binding
tconstruct:tough_binding:0, Yellow Garnet Tough Binding
tconstruct:tough_binding:0, Vinteum Tough Binding
tconstruct:tough_binding:0, Boron Tough Binding
tconstruct:tough_binding:0, Tough Alloy Tough Binding
tconstruct:tough_binding:0, Hard Carbon Tough Binding
tconstruct:tough_binding:0, Boron Nitride Tough Binding
tconstruct:tough_binding:0, Magnesium Tough Binding
tconstruct:tough_binding:0, Chocolate Tough Binding
tconstruct:tough_binding:0, Nickel Silver Tough Binding
tconstruct:tough_binding:0, Mithril Tough Binding
tconstruct:tough_binding:0, Beryllium Copper Tough Binding
tconstruct:tough_binding:0, Zircaloy Tough Binding
tconstruct:wide_guard:0, Wooden Wide Guard
tconstruct:wide_guard:0, Stone Wide Guard
tconstruct:wide_guard:0, Flint Wide Guard
tconstruct:wide_guard:0, Cactus Wide Guard
tconstruct:wide_guard:0, Bone Wide Guard
tconstruct:wide_guard:0, Obsidian Wide Guard
tconstruct:wide_guard:0, Prismarine Wide Guard
tconstruct:wide_guard:0, End Wide Guard
tconstruct:wide_guard:0, Paper Wide Guard
tconstruct:wide_guard:0, Sponge Wide Guard
tconstruct:wide_guard:0, Firewood Wide Guard
tconstruct:wide_guard:0, Iron Wide Guard
tconstruct:wide_guard:0, Pig Iron Wide Guard
tconstruct:wide_guard:0, Knightslime Wide Guard
tconstruct:wide_guard:0, Slime Wide Guard
tconstruct:wide_guard:0, Slime Wide Guard
tconstruct:wide_guard:0, Magma Slime Wide Guard
tconstruct:wide_guard:0, Netherrack Wide Guard
tconstruct:wide_guard:0, Cobalt Wide Guard
tconstruct:wide_guard:0, Ardite Wide Guard
tconstruct:wide_guard:0, Manyullyn Wide Guard
tconstruct:wide_guard:0, Copper Wide Guard
tconstruct:wide_guard:0, Bronze Wide Guard
tconstruct:wide_guard:0, Lead Wide Guard
tconstruct:wide_guard:0, Silver Wide Guard
tconstruct:wide_guard:0, Electrum Wide Guard
tconstruct:wide_guard:0, Steel Wide Guard
tconstruct:wide_guard:0, Treated Wood Wide Guard
tconstruct:wide_guard:0, Constantan Wide Guard
tconstruct:wide_guard:0, Aluminium Wide Guard
tconstruct:wide_guard:0, Chrome Wide Guard
tconstruct:wide_guard:0, Iridium Wide Guard
tconstruct:wide_guard:0, Manganese Wide Guard
tconstruct:wide_guard:0, Molybdenum Wide Guard
tconstruct:wide_guard:0, Neodymium Wide Guard
tconstruct:wide_guard:0, Darmstadtium Wide Guard
tconstruct:wide_guard:0, Osmium Wide Guard
tconstruct:wide_guard:0, Palladium Wide Guard
tconstruct:wide_guard:0, Thorium Wide Guard
tconstruct:wide_guard:0, Titanium Wide Guard
tconstruct:wide_guard:0, Tungsten Wide Guard
tconstruct:wide_guard:0, Uranium Wide Guard
tconstruct:wide_guard:0, Uranium-235 Wide Guard
tconstruct:wide_guard:0, Brass Wide Guard
tconstruct:wide_guard:0, Invar Wide Guard
tconstruct:wide_guard:0, Magnalium Wide Guard
tconstruct:wide_guard:0, Stainless Steel Wide Guard
tconstruct:wide_guard:0, Ultimet Wide Guard
tconstruct:wide_guard:0, Wrought Iron Wide Guard
tconstruct:wide_guard:0, Osmiridium Wide Guard
tconstruct:wide_guard:0, Sterling Silver Wide Guard
tconstruct:wide_guard:0, Rose Gold Wide Guard
tconstruct:wide_guard:0, Black Bronze Wide Guard
tconstruct:wide_guard:0, Bismuth Bronze Wide Guard
tconstruct:wide_guard:0, Black Steel Wide Guard
tconstruct:wide_guard:0, Red Steel Wide Guard
tconstruct:wide_guard:0, Blue Steel Wide Guard
tconstruct:wide_guard:0, Damascus Steel Wide Guard
tconstruct:wide_guard:0, Tungstensteel Wide Guard
tconstruct:wide_guard:0, Cobalt Brass Wide Guard
tconstruct:wide_guard:0, Tungsten Carbide Wide Guard
tconstruct:wide_guard:0, Vanadiumsteel Wide Guard
tconstruct:wide_guard:0, HSS-G Wide Guard
tconstruct:wide_guard:0, HSS-E Wide Guard
tconstruct:wide_guard:0, HSS-S Wide Guard
tconstruct:wide_guard:0, Naquadah Wide Guard
tconstruct:wide_guard:0, Naquadah Alloy Wide Guard
tconstruct:wide_guard:0, Enriched Naquadah Wide Guard
tconstruct:wide_guard:0, Tritanium Wide Guard
tconstruct:wide_guard:0, Duranium Wide Guard
tconstruct:wide_guard:0, material.rhodium_plated_palladium.name Wide Guard
tconstruct:wide_guard:0, material.enderium.name Wide Guard
tconstruct:wide_guard:0, Neutronium Wide Guard
tconstruct:wide_guard:0, Blue Topaz Wide Guard
tconstruct:wide_guard:0, Diamond Wide Guard
tconstruct:wide_guard:0, Emerald Wide Guard
tconstruct:wide_guard:0, Green Sapphire Wide Guard
tconstruct:wide_guard:0, Ruby Wide Guard
tconstruct:wide_guard:0, Sapphire Wide Guard
tconstruct:wide_guard:0, Tanzanite Wide Guard
tconstruct:wide_guard:0, Topaz Wide Guard
tconstruct:wide_guard:0, Olivine Wide Guard
tconstruct:wide_guard:0, Opal Wide Guard
tconstruct:wide_guard:0, Amethyst Wide Guard
tconstruct:wide_guard:0, Red Garnet Wide Guard
tconstruct:wide_guard:0, Yellow Garnet Wide Guard
tconstruct:wide_guard:0, Vinteum Wide Guard
tconstruct:wide_guard:0, Boron Wide Guard
tconstruct:wide_guard:0, Tough Alloy Wide Guard
tconstruct:wide_guard:0, Hard Carbon Wide Guard
tconstruct:wide_guard:0, Boron Nitride Wide Guard
tconstruct:wide_guard:0, Magnesium Wide Guard
tconstruct:wide_guard:0, Chocolate Wide Guard
tconstruct:wide_guard:0, Nickel Silver Wide Guard
tconstruct:wide_guard:0, Mithril Wide Guard
tconstruct:wide_guard:0, Beryllium Copper Wide Guard
tconstruct:wide_guard:0, Zircaloy Wide Guard
tconstruct:hand_guard:0, Wooden Hand Guard
tconstruct:hand_guard:0, Stone Hand Guard
tconstruct:hand_guard:0, Flint Hand Guard
tconstruct:hand_guard:0, Cactus Hand Guard
tconstruct:hand_guard:0, Bone Hand Guard
tconstruct:hand_guard:0, Obsidian Hand Guard
tconstruct:hand_guard:0, Prismarine Hand Guard
tconstruct:hand_guard:0, End Hand Guard
tconstruct:hand_guard:0, Paper Hand Guard
tconstruct:hand_guard:0, Sponge Hand Guard
tconstruct:hand_guard:0, Firewood Hand Guard
tconstruct:hand_guard:0, Iron Hand Guard
tconstruct:hand_guard:0, Pig Iron Hand Guard
tconstruct:hand_guard:0, Knightslime Hand Guard
tconstruct:hand_guard:0, Slime Hand Guard
tconstruct:hand_guard:0, Slime Hand Guard
tconstruct:hand_guard:0, Magma Slime Hand Guard
tconstruct:hand_guard:0, Netherrack Hand Guard
tconstruct:hand_guard:0, Cobalt Hand Guard
tconstruct:hand_guard:0, Ardite Hand Guard
tconstruct:hand_guard:0, Manyullyn Hand Guard
tconstruct:hand_guard:0, Copper Hand Guard
tconstruct:hand_guard:0, Bronze Hand Guard
tconstruct:hand_guard:0, Lead Hand Guard
tconstruct:hand_guard:0, Silver Hand Guard
tconstruct:hand_guard:0, Electrum Hand Guard
tconstruct:hand_guard:0, Steel Hand Guard
tconstruct:hand_guard:0, Treated Wood Hand Guard
tconstruct:hand_guard:0, Constantan Hand Guard
tconstruct:hand_guard:0, Aluminium Hand Guard
tconstruct:hand_guard:0, Chrome Hand Guard
tconstruct:hand_guard:0, Iridium Hand Guard
tconstruct:hand_guard:0, Manganese Hand Guard
tconstruct:hand_guard:0, Molybdenum Hand Guard
tconstruct:hand_guard:0, Neodymium Hand Guard
tconstruct:hand_guard:0, Darmstadtium Hand Guard
tconstruct:hand_guard:0, Osmium Hand Guard
tconstruct:hand_guard:0, Palladium Hand Guard
tconstruct:hand_guard:0, Thorium Hand Guard
tconstruct:hand_guard:0, Titanium Hand Guard
tconstruct:hand_guard:0, Tungsten Hand Guard
tconstruct:hand_guard:0, Uranium Hand Guard
tconstruct:hand_guard:0, Uranium-235 Hand Guard
tconstruct:hand_guard:0, Brass Hand Guard
tconstruct:hand_guard:0, Invar Hand Guard
tconstruct:hand_guard:0, Magnalium Hand Guard
tconstruct:hand_guard:0, Stainless Steel Hand Guard
tconstruct:hand_guard:0, Ultimet Hand Guard
tconstruct:hand_guard:0, Wrought Iron Hand Guard
tconstruct:hand_guard:0, Osmiridium Hand Guard
tconstruct:hand_guard:0, Sterling Silver Hand Guard
tconstruct:hand_guard:0, Rose Gold Hand Guard
tconstruct:hand_guard:0, Black Bronze Hand Guard
tconstruct:hand_guard:0, Bismuth Bronze Hand Guard
tconstruct:hand_guard:0, Black Steel Hand Guard
tconstruct:hand_guard:0, Red Steel Hand Guard
tconstruct:hand_guard:0, Blue Steel Hand Guard
tconstruct:hand_guard:0, Damascus Steel Hand Guard
tconstruct:hand_guard:0, Tungstensteel Hand Guard
tconstruct:hand_guard:0, Cobalt Brass Hand Guard
tconstruct:hand_guard:0, Tungsten Carbide Hand Guard
tconstruct:hand_guard:0, Vanadiumsteel Hand Guard
tconstruct:hand_guard:0, HSS-G Hand Guard
tconstruct:hand_guard:0, HSS-E Hand Guard
tconstruct:hand_guard:0, HSS-S Hand Guard
tconstruct:hand_guard:0, Naquadah Hand Guard
tconstruct:hand_guard:0, Naquadah Alloy Hand Guard
tconstruct:hand_guard:0, Enriched Naquadah Hand Guard
tconstruct:hand_guard:0, Tritanium Hand Guard
tconstruct:hand_guard:0, Duranium Hand Guard
tconstruct:hand_guard:0, material.rhodium_plated_palladium.name Hand Guard
tconstruct:hand_guard:0, material.enderium.name Hand Guard
tconstruct:hand_guard:0, Neutronium Hand Guard
tconstruct:hand_guard:0, Blue Topaz Hand Guard
tconstruct:hand_guard:0, Diamond Hand Guard
tconstruct:hand_guard:0, Emerald Hand Guard
tconstruct:hand_guard:0, Green Sapphire Hand Guard
tconstruct:hand_guard:0, Ruby Hand Guard
tconstruct:hand_guard:0, Sapphire Hand Guard
tconstruct:hand_guard:0, Tanzanite Hand Guard
tconstruct:hand_guard:0, Topaz Hand Guard
tconstruct:hand_guard:0, Olivine Hand Guard
tconstruct:hand_guard:0, Opal Hand Guard
tconstruct:hand_guard:0, Amethyst Hand Guard
tconstruct:hand_guard:0, Red Garnet Hand Guard
tconstruct:hand_guard:0, Yellow Garnet Hand Guard
tconstruct:hand_guard:0, Vinteum Hand Guard
tconstruct:hand_guard:0, Boron Hand Guard
tconstruct:hand_guard:0, Tough Alloy Hand Guard
tconstruct:hand_guard:0, Hard Carbon Hand Guard
tconstruct:hand_guard:0, Boron Nitride Hand Guard
tconstruct:hand_guard:0, Magnesium Hand Guard
tconstruct:hand_guard:0, Chocolate Hand Guard
tconstruct:hand_guard:0, Nickel Silver Hand Guard
tconstruct:hand_guard:0, Mithril Hand Guard
tconstruct:hand_guard:0, Beryllium Copper Hand Guard
tconstruct:hand_guard:0, Zircaloy Hand Guard
tconstruct:cross_guard:0, Wooden Cross Guard
tconstruct:cross_guard:0, Stone Cross Guard
tconstruct:cross_guard:0, Flint Cross Guard
tconstruct:cross_guard:0, Cactus Cross Guard
tconstruct:cross_guard:0, Bone Cross Guard
tconstruct:cross_guard:0, Obsidian Cross Guard
tconstruct:cross_guard:0, Prismarine Cross Guard
tconstruct:cross_guard:0, End Cross Guard
tconstruct:cross_guard:0, Paper Cross Guard
tconstruct:cross_guard:0, Sponge Cross Guard
tconstruct:cross_guard:0, Firewood Cross Guard
tconstruct:cross_guard:0, Iron Cross Guard
tconstruct:cross_guard:0, Pig Iron Cross Guard
tconstruct:cross_guard:0, Knightslime Cross Guard
tconstruct:cross_guard:0, Slime Cross Guard
tconstruct:cross_guard:0, Slime Cross Guard
tconstruct:cross_guard:0, Magma Slime Cross Guard
tconstruct:cross_guard:0, Netherrack Cross Guard
tconstruct:cross_guard:0, Cobalt Cross Guard
tconstruct:cross_guard:0, Ardite Cross Guard
tconstruct:cross_guard:0, Manyullyn Cross Guard
tconstruct:cross_guard:0, Copper Cross Guard
tconstruct:cross_guard:0, Bronze Cross Guard
tconstruct:cross_guard:0, Lead Cross Guard
tconstruct:cross_guard:0, Silver Cross Guard
tconstruct:cross_guard:0, Electrum Cross Guard
tconstruct:cross_guard:0, Steel Cross Guard
tconstruct:cross_guard:0, Treated Wood Cross Guard
tconstruct:cross_guard:0, Constantan Cross Guard
tconstruct:cross_guard:0, Aluminium Cross Guard
tconstruct:cross_guard:0, Chrome Cross Guard
tconstruct:cross_guard:0, Iridium Cross Guard
tconstruct:cross_guard:0, Manganese Cross Guard
tconstruct:cross_guard:0, Molybdenum Cross Guard
tconstruct:cross_guard:0, Neodymium Cross Guard
tconstruct:cross_guard:0, Darmstadtium Cross Guard
tconstruct:cross_guard:0, Osmium Cross Guard
tconstruct:cross_guard:0, Palladium Cross Guard
tconstruct:cross_guard:0, Thorium Cross Guard
tconstruct:cross_guard:0, Titanium Cross Guard
tconstruct:cross_guard:0, Tungsten Cross Guard
tconstruct:cross_guard:0, Uranium Cross Guard
tconstruct:cross_guard:0, Uranium-235 Cross Guard
tconstruct:cross_guard:0, Brass Cross Guard
tconstruct:cross_guard:0, Invar Cross Guard
tconstruct:cross_guard:0, Magnalium Cross Guard
tconstruct:cross_guard:0, Stainless Steel Cross Guard
tconstruct:cross_guard:0, Ultimet Cross Guard
tconstruct:cross_guard:0, Wrought Iron Cross Guard
tconstruct:cross_guard:0, Osmiridium Cross Guard
tconstruct:cross_guard:0, Sterling Silver Cross Guard
tconstruct:cross_guard:0, Rose Gold Cross Guard
tconstruct:cross_guard:0, Black Bronze Cross Guard
tconstruct:cross_guard:0, Bismuth Bronze Cross Guard
tconstruct:cross_guard:0, Black Steel Cross Guard
tconstruct:cross_guard:0, Red Steel Cross Guard
tconstruct:cross_guard:0, Blue Steel Cross Guard
tconstruct:cross_guard:0, Damascus Steel Cross Guard
tconstruct:cross_guard:0, Tungstensteel Cross Guard
tconstruct:cross_guard:0, Cobalt Brass Cross Guard
tconstruct:cross_guard:0, Tungsten Carbide Cross Guard
tconstruct:cross_guard:0, Vanadiumsteel Cross Guard
tconstruct:cross_guard:0, HSS-G Cross Guard
tconstruct:cross_guard:0, HSS-E Cross Guard
tconstruct:cross_guard:0, HSS-S Cross Guard
tconstruct:cross_guard:0, Naquadah Cross Guard
tconstruct:cross_guard:0, Naquadah Alloy Cross Guard
tconstruct:cross_guard:0, Enriched Naquadah Cross Guard
tconstruct:cross_guard:0, Tritanium Cross Guard
tconstruct:cross_guard:0, Duranium Cross Guard
tconstruct:cross_guard:0, material.rhodium_plated_palladium.name Cross Guard
tconstruct:cross_guard:0, material.enderium.name Cross Guard
tconstruct:cross_guard:0, Neutronium Cross Guard
tconstruct:cross_guard:0, Blue Topaz Cross Guard
tconstruct:cross_guard:0, Diamond Cross Guard
tconstruct:cross_guard:0, Emerald Cross Guard
tconstruct:cross_guard:0, Green Sapphire Cross Guard
tconstruct:cross_guard:0, Ruby Cross Guard
tconstruct:cross_guard:0, Sapphire Cross Guard
tconstruct:cross_guard:0, Tanzanite Cross Guard
tconstruct:cross_guard:0, Topaz Cross Guard
tconstruct:cross_guard:0, Olivine Cross Guard
tconstruct:cross_guard:0, Opal Cross Guard
tconstruct:cross_guard:0, Amethyst Cross Guard
tconstruct:cross_guard:0, Red Garnet Cross Guard
tconstruct:cross_guard:0, Yellow Garnet Cross Guard
tconstruct:cross_guard:0, Vinteum Cross Guard
tconstruct:cross_guard:0, Boron Cross Guard
tconstruct:cross_guard:0, Tough Alloy Cross Guard
tconstruct:cross_guard:0, Hard Carbon Cross Guard
tconstruct:cross_guard:0, Boron Nitride Cross Guard
tconstruct:cross_guard:0, Magnesium Cross Guard
tconstruct:cross_guard:0, Chocolate Cross Guard
tconstruct:cross_guard:0, Nickel Silver Cross Guard
tconstruct:cross_guard:0, Mithril Cross Guard
tconstruct:cross_guard:0, Beryllium Copper Cross Guard
tconstruct:cross_guard:0, Zircaloy Cross Guard
tconstruct:large_plate:0, Wooden Large Plate
tconstruct:large_plate:0, Stone Large Plate
tconstruct:large_plate:0, Flint Large Plate
tconstruct:large_plate:0, Cactus Large Plate
tconstruct:large_plate:0, Bone Large Plate
tconstruct:large_plate:0, Obsidian Large Plate
tconstruct:large_plate:0, Prismarine Large Plate
tconstruct:large_plate:0, End Large Plate
tconstruct:large_plate:0, Paper Large Plate
tconstruct:large_plate:0, Sponge Large Plate
tconstruct:large_plate:0, Firewood Large Plate
tconstruct:large_plate:0, Iron Large Plate
tconstruct:large_plate:0, Pig Iron Large Plate
tconstruct:large_plate:0, Knightslime Large Plate
tconstruct:large_plate:0, Slime Large Plate
tconstruct:large_plate:0, Slime Large Plate
tconstruct:large_plate:0, Magma Slime Large Plate
tconstruct:large_plate:0, Netherrack Large Plate
tconstruct:large_plate:0, Cobalt Large Plate
tconstruct:large_plate:0, Ardite Large Plate
tconstruct:large_plate:0, Manyullyn Large Plate
tconstruct:large_plate:0, Copper Large Plate
tconstruct:large_plate:0, Bronze Large Plate
tconstruct:large_plate:0, Lead Large Plate
tconstruct:large_plate:0, Silver Large Plate
tconstruct:large_plate:0, Electrum Large Plate
tconstruct:large_plate:0, Steel Large Plate
tconstruct:large_plate:0, Treated Wood Large Plate
tconstruct:large_plate:0, Constantan Large Plate
tconstruct:large_plate:0, Aluminium Large Plate
tconstruct:large_plate:0, Chrome Large Plate
tconstruct:large_plate:0, Iridium Large Plate
tconstruct:large_plate:0, Manganese Large Plate
tconstruct:large_plate:0, Molybdenum Large Plate
tconstruct:large_plate:0, Neodymium Large Plate
tconstruct:large_plate:0, Darmstadtium Large Plate
tconstruct:large_plate:0, Osmium Large Plate
tconstruct:large_plate:0, Palladium Large Plate
tconstruct:large_plate:0, Thorium Large Plate
tconstruct:large_plate:0, Titanium Large Plate
tconstruct:large_plate:0, Tungsten Large Plate
tconstruct:large_plate:0, Uranium Large Plate
tconstruct:large_plate:0, Uranium-235 Large Plate
tconstruct:large_plate:0, Brass Large Plate
tconstruct:large_plate:0, Invar Large Plate
tconstruct:large_plate:0, Magnalium Large Plate
tconstruct:large_plate:0, Stainless Steel Large Plate
tconstruct:large_plate:0, Ultimet Large Plate
tconstruct:large_plate:0, Wrought Iron Large Plate
tconstruct:large_plate:0, Osmiridium Large Plate
tconstruct:large_plate:0, Sterling Silver Large Plate
tconstruct:large_plate:0, Rose Gold Large Plate
